URL,HTTP Status Code,Response Time (s),Crawl Timestamp,HTML Title,Canonical URL,robots Directive,Content Type,Page Size (Raw/Compressed Bytes),Page Size (Uncompressed Bytes)
https://a-z-animals.com/animals/african-forest-elephant/,200,0.115,2025-10-11 19:37:07.500644+00:00,African Forest Elephant Animal Facts - Loxodonta cyclotis - A-Z Animals,https://a-z-animals.com/animals/african-forest-elephant/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61324,275495
https://a-z-animals.com/animals/african-golden-cat/,200,0.118,2025-10-11 19:37:09.622088+00:00,African Golden Cat Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/african-golden-cat/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63635,275685
https://a-z-animals.com/animals/african-grey-parrot/,200,0.144,2025-10-11 19:37:11.770677+00:00,African Grey Parrot Bird Facts - Psittacus erithacus - A-Z Animals,https://a-z-animals.com/animals/african-grey-parrot/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62919,274332
https://a-z-animals.com/animals/african-jacana/,200,0.115,2025-10-11 19:37:13.888784+00:00,African Jacana Bird Facts - Actophilornis Africanus - A-Z Animals,https://a-z-animals.com/animals/african-jacana/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61901,271691
https://a-z-animals.com/animals/african-palm-civet/,200,0.135,2025-10-11 19:37:16.028427+00:00,African Palm Civet Animal Facts - Nandinia binotata - A-Z Animals,https://a-z-animals.com/animals/african-palm-civet/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62234,273755
https://a-z-animals.com/animals/african-penguin/,200,0.116,2025-10-11 19:37:18.148057+00:00,African Penguin Bird Facts - Spheniscus demersus - A-Z Animals,https://a-z-animals.com/animals/african-penguin/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,63653,283406
https://a-z-animals.com/animals/african-sugarcane-borer/,200,0.106,2025-10-11 19:37:20.257382+00:00,African Sugarcane Borer Insect Facts - Eldana saccharina - A-Z Animals,https://a-z-animals.com/animals/african-sugarcane-borer/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62900,281188
https://a-z-animals.com/animals/african-tree-toad/,200,0.107,2025-10-11 19:37:22.368173+00:00,African Tree Toad Animal Facts - Nectophryne afra - A-Z Animals,https://a-z-animals.com/animals/african-tree-toad/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61766,275423
https://a-z-animals.com/animals/african-wild-dog/,200,0.097,2025-10-11 19:37:24.468464+00:00,African Wild Dog Animal Facts - Lycaon pictus - A-Z Animals,https://a-z-animals.com/animals/african-wild-dog/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62272,278041
https://a-z-animals.com/animals/africanized-bee-killer-bee/,200,0.106,2025-10-11 19:37:26.578755+00:00,Africanized bee (killer bee) Insect Facts - Apis mellifera - A-Z Animals,https://a-z-animals.com/animals/africanized-bee-killer-bee/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60074,263194
